Feature,Importance
remainder__transmission,0.38875521310281974
remainder__car_age,0.2589375730339969
remainder__engine,0.20196244181791834
remainder__model_freq,0.041182580322906615
ohe__body_Sedan,0.03116172126457157
remainder__log_mileage,0.018492708467714544
remainder__make_freq,0.01750006636215264
ohe__body_SUV,0.004873333707914367
ohe__registered_grouped_Un-Registered,0.0047452167620977
ohe__body_Double Cabin,0.0031090784083458657
ohe__body_Hatchback,0.0030323160457727677
ohe__city_grouped_Karachi,0.002907587158345356
ohe__registered_grouped_Islamabad,0.002134611942049963
ohe__body_MPV,0.001963155067324134
ohe__body_Unknown,0.0016766875847590674
ohe__city_grouped_Lahore,0.0011235463468790474
ohe__city_grouped_Other,0.0011081212826130305
ohe__fuel_Petrol,0.0010955459574347036
ohe__registered_grouped_Sindh,0.0010785160676695562
ohe__registered_grouped_Lahore,0.0010745254943927585
ohe__registered_grouped_Karachi,0.0010740615022794555
ohe__city_grouped_Islamabad,0.0009789166206227834
ohe__body_Mini Van,0.0009693929565121464
ohe__fuel_Hybrid,0.0009070201956451393
ohe__registered_grouped_Other,0.0007880930871826962
ohe__city_grouped_Peshawar,0.0007691592941524502
ohe__registered_grouped_Punjab,0.0007427340121730645
ohe__city_grouped_Rawalpindi,0.0006702018380069746
ohe__body_Coupe,0.0005961666181486409
ohe__registered_grouped_Rawalpindi,0.000487397846411579
ohe__registered_grouped_Peshawar,0.0004728909932249666
ohe__fuel_Diesel,0.0004532944969426228
ohe__city_grouped_Faisalabad,0.00035071796180395854
ohe__body_Van,0.00034854216954176916
ohe__city_grouped_Multan,0.000343009552308309
ohe__body_High Roof,0.0002844048313002179
ohe__city_grouped_Gujranwala,0.0002761131383237896
ohe__registered_grouped_Faisalabad,0.0002178042554862214
ohe__city_grouped_Sialkot,0.00021621877243267412
ohe__assembly_Imported,0.00020531710830325688
ohe__registered_grouped_Multan,0.00019927464304429085
ohe__city_grouped_Sargodha,0.0001722889308497942
ohe__body_Pick Up,0.00014001356941876556
ohe__assembly_Local,0.000139422286893314
ohe__body_Convertible,9.386390255857316e-05
ohe__body_Truck,6.85090829432316e-05
ohe__body_Single Cabin,5.595276907117836e-05
ohe__body_Station Wagon,3.7313631065672585e-05
ohe__body_Mini Vehicles,2.283311511124371e-05
ohe__body_Off-Road Vehicles,3.781246196897848e-06
ohe__body_Crossover,7.433743657386788e-07
