assembly,body,engine,transmission,fuel,car_age,city_grouped,registered_grouped,log_mileage,make_freq,model_freq,Actual,Predicted,Error,Abs_Error
Local,Sedan,1800,1,Petrol,5,Karachi,Sindh,11.127277689932466,0.21353642298074113,0.10736903640674222,6549999.999999996,6526507.167967525,23492.832032470964,23492.832032470964
Local,Hatchback,796,0,Petrol,9,Lahore,Sindh,11.19822841866684,0.2909941216589263,0.06034230781721932,1099999.9999999998,1146079.8501594428,-46079.85015944298,46079.85015944298
Local,Sedan,1300,1,Petrol,24,Peshawar,Sindh,4.820281565605037,0.022766392777110196,0.0011529342989834693,449999.99999999994,1010373.1083510013,-560373.1083510013,560373.1083510013
Local,Sedan,1598,1,Petrol,4,Peshawar,Punjab,9.61587214452889,0.3168458315741613,0.16566529180604722,4199999.999999997,6443530.658162091,-2243530.6581620937,2243530.6581620937
Local,Pick Up,800,0,Petrol,11,Other,Other,10.691967639914864,0.2909941216589263,0.004644214218440453,890000.0000000002,820739.4419516092,69260.55804839102,69260.55804839102
Local,Unknown,1000,0,Petrol,14,Rawalpindi,Islamabad,11.561725152903833,0.2909941216589263,0.05779286155045305,1350000.0,1355351.6793329248,-5351.679332924774,5351.679332924774
Local,Sedan,1500,1,Petrol,4,Lahore,Lahore,10.292179440058462,0.21353642298074113,0.06985807541164626,4635000.000000003,5360167.991504245,-725167.9915042426,725167.9915042426
Local,Hatchback,800,0,Petrol,20,Lahore,Lahore,7.118826249062078,0.2909941216589263,0.06034230781721932,570000.0000000001,602770.288708633,-32770.28870863293,32770.28870863293
Local,Hatchback,800,0,Petrol,13,Sargodha,Sindh,11.703554089007538,0.2909941216589263,0.06034230781721932,915000.0000000002,886147.8496809663,28852.150319033884,28852.150319033884
Imported,MPV,1800,1,Petrol,14,Karachi,Karachi,11.767575435251748,0.3168458315741613,0.009613198661946673,4349999.999999996,4855087.879220154,-505087.87922015786,505087.87922015786
Imported,Unknown,2500,1,Petrol,19,Faisalabad,Punjab,10.234983140444118,0.014062550745347667,0.000324770225065766,3200000.0000000023,3144442.031613202,55557.968386800494,55557.968386800494
Imported,Unknown,3200,0,Petrol,30,Other,Sindh,12.206077645517674,0.014062550745347667,0.005277516157318697,1350000.0,1863351.4347940271,-513351.4347940271,513351.4347940271
Local,Unknown,1800,1,Petrol,20,Lahore,Lahore,11.542493975902508,0.3168458315741613,0.16566529180604722,2199999.9999999995,2083122.957417266,116877.04258273356,116877.04258273356
Local,Crossover,1500,1,Petrol,5,Other,Islamabad,10.34177474101152,0.00630054236627586,0.0055373323373713096,7300000.000000004,7301481.5442719795,-1481.5442719757557,1481.5442719757557
Imported,Crossover,1500,1,Hybrid,10,Peshawar,Islamabad,11.542493975902508,0.21353642298074113,0.009483290571920367,6159999.999999997,6501162.633720263,-341162.6337202657,341162.6337202657
Local,Unknown,2000,1,Petrol,8,Lahore,Karachi,10.596659732783579,0.007550907732779059,0.007550907732779059,29499999.999999966,20577405.305666115,8922594.694333851,8922594.694333851
Local,Unknown,1300,0,Petrol,20,Lahore,Lahore,12.206077645517674,0.2909941216589263,0.0058133870286772105,1090000.0000000002,1133270.1311360553,-43270.131136055104,43270.131136055104
Local,Hatchback,800,0,Petrol,19,Lahore,Other,11.359377936543922,0.2909941216589263,0.06034230781721932,560000.0000000003,618285.5179866788,-58285.5179866784,58285.5179866784
Local,Hatchback,1000,0,Petrol,15,Islamabad,Islamabad,11.695255355062795,0.2909941216589263,0.05707836705530837,1150000.0000000005,1197664.498783614,-47664.498783613555,47664.498783613555
Imported,Sedan,3700,1,Petrol,21,Islamabad,Islamabad,11.39640288460621,0.007550907732779059,0.007550907732779059,7300000.000000004,8211928.624624405,-911928.6246244013,911928.6246244013
Imported,Sedan,1500,0,Petrol,33,Other,Rawalpindi,9.210340371976184,0.0008281640739177033,0.0007956870514111267,379999.9999999999,375849.8804778703,4150.119522129593,4150.119522129593
Imported,Hatchback,1000,1,Petrol,8,Lahore,Punjab,10.491301994830229,0.2909941216589263,0.019713552661491995,4799999.999999999,4174630.33149535,625369.6685046488,625369.6685046488
Local,Pick Up,2800,1,Diesel,4,Multan,Punjab,9.23024103368252,0.3168458315741613,0.014744568217985775,14499999.99999999,14890257.762894593,-390257.7628946025,390257.7628946025
Local,Sedan,1800,1,Petrol,7,Other,Islamabad,11.082157933374816,0.21353642298074113,0.10736903640674222,5900000.000000006,6114001.4836113835,-214001.4836113779,214001.4836113779
Local,Sedan,1300,0,Petrol,21,Karachi,Sindh,11.87757552297847,0.014062550745347667,0.004043389302068786,1059999.9999999993,962490.4410235009,97509.55897649843,97509.55897649843
Local,SUV,1999,1,Petrol,5,Karachi,Karachi,10.596659732783579,0.022766392777110196,0.012698515800071449,7649999.999999994,7496002.362838163,153997.63716183137,153997.63716183137
Local,SUV,1999,1,Petrol,5,Karachi,Sindh,10.50632702006454,0.022766392777110196,0.012698515800071449,7599999.999999995,7791855.980854593,-191855.98085459787,191855.98085459787
Local,Hatchback,800,0,Petrol,11,Islamabad,Sindh,11.49273296168228,0.2909941216589263,0.06034230781721932,1150000.0000000005,973902.1099980203,176097.89000198012,176097.89000198012
Local,Sedan,1600,0,Petrol,24,Multan,Sindh,11.626263078808801,0.21353642298074113,0.10736903640674222,1650000.0000000007,1253131.413117312,396868.5868826888,396868.5868826888
